price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
107100,28,1,1,0,41.7245209,44.7537885,Saburtalo District,11,11,new,newly renovated,1
257000,72,3,1,1,41.6895023,44.8200504,Isani District,15,16,new,newly renovated,0
157200,53,2,1,0,41.6770838,44.8172216,Krtsanisi District,2,4,new,white frame,1
237200,80,3,2,0,41.6828831,44.8238154,Krtsanisi District,3,4,new,white frame,1
158200,60,2,1,0,41.7687623,44.72412323,Saburtalo District,14,16,old,newly renovated,0
184500,74,2,1,0,41.6828831,44.8238154,Krtsanisi District,7,12,new,white frame,1
150300,57,2,1,0,41.7307343,44.7439254,Saburtalo District,1,6,new,white frame,1
125200,50,2,1,0,41.7245209,44.7537885,Saburtalo District,3,12,new,white frame,1
159500,96.1,3,1,0,41.78572775,44.76271173,Saburtalo District,2,8,new,black frame,1
429600,76.7,3,2,0,41.7914713,44.67241249,Saburtalo District,5,11,new,black frame,1
230700,100,2,1,0,41.74850381,44.84168645,Other,5,12,construction,white frame,1
375600,90,3,2,1,41.725054,44.7545015,Saburtalo District,2,15,new,newly renovated,0
132600,74.9,3,2,0,41.7903068,44.7593516,Saburtalo District,3,8,new,black frame,1
194400,74,4,2,0,41.78797452,44.76221799,Saburtalo District,1,17,new,newly renovated,1
250300,82.1,3,2,1,41.7260323,44.7995087,Nadzaladevi District,20,24,new,newly renovated,1
148300,50,2,1,0,41.7245209,44.7537885,Saburtalo District,2,7,new,newly renovated,1
112700,52.6,2,1,0,41.6828831,44.8238154,Krtsanisi District,11,15,new,black frame,1
350500,145.7,4,3,0,41.6866598,44.8379845,Isani District,11,17,new,white frame,0
229800,85,3,2,0,41.7335333,44.798583,Nadzaladevi District,2,10,new,newly renovated,1
85700,65,3,2,0,41.68692918,44.88455262,Samgori District,4,12,construct,white frame,1
154900,32,1,1,1,41.707003,44.7749574,Vake District,2,7,new,newly renovated,1
83700,43,2,1,0,41.77941919,44.81485642,Nadzaladevi District,8,10,new,green frame,1
263600,62.3,2,1,1,41.7245209,44.7537885,Saburtalo District,18,23,new,newly renovated,1
224100,60,3,2,1,41.7211627,44.7805689,Saburtalo District,9,24,new,newly renovated,1
80700,42,2,1,0,41.77937584,44.81486856,Nadzaladevi District,8,10,new,green frame,0
117000,52,2,1,0,41.7850018,44.7553366,Saburtalo District,2,5,new,newly renovated,1
461300,80,3,2,1,41.7037033,44.7724816,Vake District,5,8,new,newly renovated,1
154900,95,3,2,0,41.6755322,44.8389753,Isani District,2,9,new,black frame,1
247100,70,3,2,1,41.7245209,44.7537885,Saburtalo District,10,16,new,newly renovated,1
247100,70,3,2,1,41.7245209,44.7537885,Saburtalo District,10,16,new,newly renovated,1
224100,103,5,3,1,41.7341813,44.72803694,Vake District,6,9,old,newly renovated,1
214200,110,4,3,1,41.7206004,44.7232035,Saburtalo District,3,5,old,newly renovated,1
494300,97,3,2,1,41.7103479,44.782901,Mtatsminda District,2,14,new,newly renovated,1
154900,54,2,1,1,41.707666,44.7839348,Mtatsminda District,1,3,old,newly renovated,1
220800,64,3,2,0,41.7206004,44.7232035,Saburtalo District,6,23,new,newly renovated,1
145000,80,2,1,0,41.76527583,44.77550609,Didube District,3,8,old,old renovation,1
421800,187,5,4,1,41.7874621,44.749969,Saburtalo District,9,10,new,newly renovated,1
477800,168,5,3,1,41.7013668,44.7687247,Vake District,8,14,new,newly renovated,1
593100,180,4,3,1,41.7223038,44.78088,Saburtalo District,10,13,new,newly renovated,1
191100,57,2,1,1,41.7245209,44.7537885,Saburtalo District,6,22,new,newly renovated,1
217500,65,2,1,0,41.7245209,44.7537885,Saburtalo District,6,21,new,newly renovated,1
230700,110,8,3,0,41.79365695,44.82164764,Gldani District,6,9,old,old renovation,1
889700,170,5,3,0,41.6922643,44.7968981,Mtatsminda District,1,3,old,old renovation,0
411900,133,3,2,1,41.720015,44.7407348,Saburtalo District,8,9,new,newly renovated,1
724900,200,6,4,1,41.7098004,44.7848337,Mtatsminda District,8,8,old,newly renovated,1
392100,120,3,2,1,41.7103615,44.7284963,Vake District,2,10,new,newly renovated,1
362500,94,3,2,1,41.7141725,44.7596077,Vake District,8,12,old,newly renovated,1
382200,97,3,2,0,41.7098352,44.7730487,Vake District,14,23,new,black frame,1
247100,70,3,2,1,41.73743146,42.83237285,Other,5,13,new,newly renovated,1
346000,68,2,1,1,41.725054,44.7545015,Saburtalo District,15,20,new,newly renovated,1
362500,130,4,3,1,41.7211627,44.7805689,Saburtalo District,10,14,new,newly renovated,1
230700,106,4,3,0,41.7080349,44.8590477,Samgori District,12,13,new,newly renovated,1
395400,115,3,2,1,41.7260891,44.7744363,Saburtalo District,9,14,new,newly renovated,1
270200,120,4,2,0,41.7245209,44.7537885,Saburtalo District,8,8,old,old renovation,1
293300,81,3,2,0.5,41.73895575,44.78084934,Didube District,10,10,new,newly renovated,1
237200,70,3,2,0,41.7245209,44.7537885,Saburtalo District,12,16,new,newly renovated,1
492900,209.2,4,3,0,41.6864362,44.82367,Isani District,4,21,new,white frame,0
350500,145.7,4,3,0,41.69230965,44.82154107,Isani District,5,17,new,white frame,0
328400,138.4,3,2,0,41.6866598,44.8379845,Isani District,9,17,new,white frame,0
248800,96,3,2,0,41.71920302,44.76626035,Saburtalo District,4,9,new,white frame,1
247100,100,4,3,0,41.6866598,44.8379845,Isani District,4,4,old,old renovation,1
411900,98.5,4,3,1,41.68289664,44.82326825,Krtsanisi District,8,10,new,newly renovated,1
266200,113,3,3,0,41.69230965,44.82154107,Isani District,5,17,new,white frame,0
131800,62,2,1,1,41.7341813,44.72803694,Vake District,1,9,old,newly renovated,0
224100,61,2,1,0,41.7260891,44.7744363,Saburtalo District,5,23,new,white frame,1
168100,73,3,2,0,41.7260323,44.7995087,Nadzaladevi District,6,11,new,green frame,1
228900,96.5,3,2,0,41.6866598,44.8379845,Isani District,10,17,new,white frame,0
256900,106.8,3,3,0,41.6835977,44.835621,Isani District,4,17,new,white frame,0
181200,55,3,2,1,41.73113736,44.76761745,Saburtalo District,3,5,old,old renovation,1
362500,116,3,2,1,41.7210455,44.7405122,Saburtalo District,2,8,new,newly renovated,1
329500,65,3,2,1,41.7128448,44.7605542,Vake District,4,18,new,newly renovated,1
257000,80,3,2,1,41.7267227,44.786055,Didube District,10,12,new,newly renovated,1
138400,60,2,1,0,41.7800855,44.7796584,Didube District,2,5,new,newly renovated,0
510700,170,5,3,1,41.716068,44.7854635,Saburtalo District,12,20,new,newly renovated,1
121900,105,2,1,1,41.77670059,44.80865797,Nadzaladevi District,7,8,old,old renovation,1
280100,69,2,1,0,41.7249652,44.7765248,Saburtalo District,5,22,new,newly renovated,1
110700,65,2,1,0,41.6921919,44.83716386,Isani District,6,9,old,old renovation,0
299900,91,4,3,0,41.707897,44.73169445,Vake District,3,6,new,black frame,1
313000,118,4,2,1,41.71714067,44.7710841,Saburtalo District,2,12,old,newly renovated,1
280100,80,3,2,1,41.73084372,44.73794593,Saburtalo District,9,11,new,newly renovated,1
303100,102,3,2,0,41.70373783,44.76756599,Vake District,6,8,new,green frame,1
271800,75,2,1,1,41.7103615,44.7284963,Vake District,12,16,new,newly renovated,1
263600,61,3,2,1,41.71114765,44.79478226,Chugureti District,3,7,new,newly renovated,0
258700,70,2,1,0.5,41.7077917,44.7645692,Vake District,6,8,new,newly renovated,1
240500,53,2,1,1,41.722811,44.7509454,Saburtalo District,6,12,new,newly renovated,1
258700,80,2,1,1,41.7103615,44.7284963,Vake District,6,9,new,newly renovated,1
181200,65,2,1,0,41.7172959,44.7752025,Saburtalo District,6,8,old,newly renovated,0
102100,45,2,1,1,41.7022129,44.7856469,Mtatsminda District,1,2,old,newly renovated,0
214200,74,3,2,1,41.7093734,44.7698209,Vake District,2,11,new,newly renovated,0
184500,52,3,2,1,41.73188365,44.8368763,Other,11,12,new,newly renovated,1
296600,87,3,2,0,41.6828831,44.8238154,Krtsanisi District,5,12,new,newly renovated,1
280100,72,2,1,0,41.7245209,44.7537885,Saburtalo District,4,16,new,green frame,1
7.25E+05,20000,6,4,0,41.7081011,44.7696196,Vake District,12,17,new,white frame,1
428400,60,2,1,1,41.7245209,44.7537885,Saburtalo District,4,23,new,newly renovated,1
191100,87,3,2,1,41.7206103,44.7106871,Saburtalo District,8,9,new,newly renovated,1
131800,88,3,2,0,41.8068798,44.8300802,Gldani District,2,3,new,under renovation,1
153200,70,2,1,0,41.7282988,44.733134,Vake District,10,10,new,newly renovated,0
98900,34,2,1,0,41.72447122,44.79229276,Chugureti District,10,12,old,newly renovated,0
181200,53,2,1,1,41.7245209,44.7537885,Saburtalo District,2,16,new,newly renovated,1
214200,76,3,2,0,41.73188365,44.8368763,Other,5,11,new,newly renovated,1
158200,51,2,1,0,41.7206004,44.7232035,Saburtalo District,6,23,new,newly renovated,0
230700,53,2,1,0,41.7240689,44.7299815,Saburtalo District,14,17,new,newly renovated,1
339400,107,4,2,0,41.73188365,44.8368763,Other,10,17,new,newly renovated,1
527200,128,4,2,0,41.6905169,44.7980186,Mtatsminda District,2,4,old,newly renovated,1
237200,70,3,2,1,41.7245209,44.7537885,Saburtalo District,6,16,new,newly renovated,1
385500,97.82,3,2,1,41.77159297,44.77747472,Didube District,9,17,new,newly renovated,1
329200,111,4,2,0,41.6914756,44.8049127,Krtsanisi District,2,3,old,not renovated,1
